title,track,course,rooms,days,time_slots,description,expected_result,tags,tech_areas,author,telegram,links,repository,avg_score,expert_count,mentor_score,score_актуальность,score_практ_значимость,score_новизна,score_импакт,score_rd_сложность,score_масштабирование,score_критерий_7,expert_comments
Диффузионные модели в NLP,Научный,1 курс,,,,"Изучил текущее состояние диффузии в тексте. Точная тема ресерча на уточнении

Ожидаемый результат: Зависит от тема ресерча",Зависит от тема ресерча,NLP; Research,,Студент_650,@user_606,,,,,,,,,,,,,
диффузионные модели для генерации текста.,Demo Day,,"NLP, Diffusion Models",2026-01-23,13:30:00,,,NLP,,,,,,2.86,1,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,
добавьте свое фио,Demo Day (Бизнес),,"FinTech; HR; RecSys; Безопасность; Бизнес - процессы, промышленность; Бизнес-процессы, промышленность; Геймификация, визуализация, 3D; Гео; Образование/ наука; Продажи, B2B, услуги, маркетинг, ритэйл; Промышленность; Распознование речи, агенты; Туризм, досуг + NLP",2026-01-22,,,,3D/Games; Agents; Audio; Business; EdTech; FinTech; Geo; ML; ML в промышленности; NLP; RecSys; Security,,,,,,,,,,,,,,,,
Дообучение VLM под задачу NER на банковских документах,Индустриальный,2 курс,,,,"1. Собрать данные для обучения модели
2. Собрать данные для бенчей результатов
3. Подготовить инфру для обучения
4. Бенчмарк текущих опенсорс решений
5. Провести хотя бы 1 итерацию обучения
6. Бенчмарк обученной модели",,CV; EdTech; FinTech; ML в промышленности; VLM,CV; VLM,Студент_290,@user_484,https://docs.google.com/presentation/d/18qWjHemLSk0ISSt751nBV_3iC1DwLKq7NhXAjql33Jc/edit?usp=sharing,,,,1.0,,,,,,,,
Доработка open-source инструментов по безопасности агентских систем,Индустриальный,1 курс,,,,"Исследование OpenAI Agent Guardrails (как устроен, как работает, какие типы ошибок перехватывает, какие нет), сравнение с  open-source  инструментами.
Доработка open-source инструментов по безопасности агентских систем

Ожидаемый результат: Внедрение новых идей в текущие  open-source инструменты",Внедрение новых идей в текущие  open-source инструменты,LLM; ML в промышленности; NLP; Security; Агенты,Agentic_AI; LLM,Студент_272,@user_309,https://drive.google.com/drive/folders/1YjQ6jd_VrnkkdZZv0YVt5l7H5bC5MUUM?usp=drive_link,,,,5.0,,,,,,,,
доработка мультиагентной llm системы для работы с промышленными данными,Индустриальный,2 курс,"Бизнес-процессы, промышленность",2026-01-22,16:15:00,,,Business; LLM; ML; ML в промышленности; NLP; Агенты,Agentic_AI; Data_Scientist; LLM; Other,Студент_342,,https://drive.google.com/drive/folders/1Yi13dU3EFmxfvRLndJ_Z_QUlHcUXe3hT?usp=sharing,,2.71,1,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,
Древние языки и ИИ в археологии,Научный,,,,,"Погружение в контекст задачи: чтение научных статей, анализ датасетов и оценка существующих решений.

Тестирование существующих ллм в зеро-шот режиме

Дообучение различных ллм (включая Gemma-T5) на задачу перевода древнеегипетских текстов

Ожидаемый результат: Обучение бейзлайн-переводчика на основе ллм",Обучение бейзлайн-переводчика на основе ллм,EdTech; NLP; Research,,Студент_936,@user_405,,,,,,,,,,,,,
"Ду́но (Адаптивные агенты, AIRI)",Научный,,,,,"мы договорились с научным руководителем что и я и он придумаем по 4 ресерч пропоузала и в течении 2 недель будем обсуждать дальнейшие планы и реализации

Ожидаемый результат: придумать тему с подробным планом на исследование",придумать тему с подробным планом на исследование,Research; Агенты,,Студент_450,@user_050,,,,,,,,,,,,,
Дубли в торговых новостях,Научный,2 курс,,,,"Пока нету

Ожидаемый результат: Непонятно удастся ли реализовать",Непонятно удастся ли реализовать,FinTech; Research; Агенты,Agentic_AI; Data_Scientist,Студент_740,@user_263,https://drive.google.com/drive/folders/11VMV8qDeze7o3heUbpoRTx4GUwA5d5HC?usp=sharing,,,,5.0,,,,,,,,
Естественные науки + ML,Demo Day,,NLP,2026-01-22,,,,NLP,,,,,,,,,,,,,,,,
ЖигулИИ Trainer,Education,,,,,"План работы на семестр

Этап 1: Проектирование и архитектура
Определение архитектуры системы и основных компонентов
Проектирование формата конфигурационных файлов для описания проверок
Разработка спецификации health-checks для разных типов заданий
Создание технического задания и распределение задач

Этап 2: Разработка базовых компонентов
Реализация парсера конфигурационных файлов
Разработка движка выполнения проверок (executor)
Создание набора стандартных проверок ""из коробки"":
DevOps чеки (пинг сервера, проверка портов, нагрузочное тестирование)
ML метрики (accuracy, precision, recall и др.)
Базовая система формирования отчетов

Этап 3: Docker-интеграция и кастомизация
Разработка системы запуска Python-кода в изолированной среде
Создание базовых Docker-образов для различных типов проверок
Реализация механизма подключения кастомных проверок от преподавателей
Документация по созданию собственных проверок

Этап 4: GPT-assisted проверка (не влезает, весенний семестр)
Интеграция с GPT API
Разработка системы хранения эталонных решений
Создание промптов для сравнения решений
Механизм парсинга и подготовки кода для сравнения
Генерация подсказок и рекомендаций для студентов

Этап 5: Тестирование и доработка (весенний семестр)
Проведение пилотного тестирования на реальных заданиях
Сбор обратной связи от потенциальных пользователей
Оптимизация производительности
Доработка интерфейса и UX
Подготовка документации и примеров использования

Ожидаемый результат: Функциональный MVP включающий: - Работающая платформа с CLI/API для запуска проверок - Система конфигурационных файлов с поддержкой минимум 2 типов заданий (DevOps + ML) - Набор из 10-15 готовых проверок ""из коробки"" - Docker-based окружение для изолированного выполнения проверок - Механизм подключения кастомных Python-проверок","Функциональный MVP включающий: - Работающая платформа с CLI/API для запуска проверок - Система конфигурационных файлов с поддержкой минимум 2 типов заданий (DevOps + ML) - Набор из 10-15 готовых проверок ""из коробки"" - Docker-based окружение для изолированного выполнения проверок - Механизм подключения кастомных Python-проверок",EdTech; MedTech; NLP; Агенты,,Студент_810,@expert_249,,,,,,,,,,,,,
жигулии trainer: платформа автоматизированной проверки учебных заданий с поддержкой devops/mlops практик,Education,2 курс,EdTech,2026-01-22,13:15:00,,,EdTech; LLM; NLP,LLM,Студент_550,,https://drive.google.com/drive/folders/1A6KroJ7kiTX5BVGMtATLYX0jP8ggkIDh?hl=ru,,2.82,4,5.0,3.0,3.0,2.0,3.0,2.75,3.0,3.0,"Пока есть что докручивать в плане реализации, но проект очень интересный, ребята большие молодцы."
задача ранжирования и кандидатогенерации товаров в маркетплейсе,Demo Day (Бизнес),,Прожарка,2026-01-23,16:00:00,,,,,,,,,,,,,,,,,,,
"ИИ Ассистент, Moodle",Индустриальный,,,,,"Проект: ИИ Ассистент, Moodle",,EdTech; ML в промышленности,,Студент_912,@user_663,,,,,,,,,,,,,
ИИ-ассистент для LMS (CДО) Moodle,Education,1 курс,,,,"1. Анализ текущих навыков и постановка целей 

**Оценить текущий уровень владения Python, FastAPI, OpenAI API, LangChain / LlamaIndex.

2. Изучение теоретической базы и инструментов 

**Изучить архитектуру трансформеров и принципы работы LLM.

**Освоить Prompt Engineering: zero-shot, few-shot, chain-of-thought, ReAct.

Ознакомиться с библиотеками:

**LangChain — для построения пайплайнов и агентных систем;

**LlamaIndex — для организации поиска по локальным данным;

**FastAPI / Streamlit — для интерфейсов и API.

**Изучить подход RAG (Retrieval-Augmented Generation).

3. Применение изученных навыков на практике, выполняя этот проект 

4. Ретроспектива и оценка результатов 
**Оценить достигнутые цели и уровень компетенций.

**Подготовить summary: чему научился, какие инструменты освоил, что можно улучшить.

Ожидаемый результат: Рабочий инструментарий, внедренный в ЛМС. Сейчас есть рабочий прототип, архитектура","Рабочий инструментарий, внедренный в ЛМС. Сейчас есть рабочий прототип, архитектура",EdTech; LLM; NLP; RAG; Агенты,,Студент_1034,@user_582,https://drive.google.com/drive/folders/1xbN2Rt3wSNnzoUWLmnpMo1xrrisvZ_6u,,,,,,,,,,,,
ии-ассистент для lms moodle,Demo Day,,Образование/ наука,2026-01-22,17:00:00,,,EdTech,,,,,,1.67,3,,2.33,1.0,2.0,1.33,2.0,2.0,1.0,"сложно оценивать, когда не виден промежуточный результат | без примеров задач и реальных клиентов сложно оценить | Над подачей стоит поработать. К середине презентации я начала забывать, что ребята вообще разрабатывают. Пока выглядит как ""пока что только до"", очень мало конкретики."
Индивидуальное ценообразование продуктов массового сегмента,Индустриальный,2 курс,,,,"1. Аналитика клиентской базы
2. Построение модели кластеризации клиентов по эластичности (много бизнес ограничений к модели)
3. Построение модели индивидуальных условий вклада
4. Построение интегральной uplift модели выдачи вкладов с индивидуальными условиями
5. Прохождение валидации моделей, согласование с блоком Риски, согласование с Казначейством
6. Запуск пилота на 10% клиентах

Ожидаемый результат: Запуск пилотов на 10% выборки, расчет продуктовых / финансовых метрик","Запуск пилотов на 10% выборки, расчет продуктовых / финансовых метрик",EdTech; FinTech; ML в промышленности,,Студент_292,@user_658,,,,,,,,,,,,,
интеллектуальная автоматизация etl и визуализации,Demo Day (Бизнес),,Презентация проектов перед бизнес - партнерами,2026-01-23,15:15:00,,,Business,,,,,,,,,,,,,,,,
интеллектуальная автоматизация etl-процессов и визуализации данных на основе больших языковых моделей и мультиагентных систем,Научный,1 курс,Multiagent systems,2026-01-23,16:00:00,,,Agents; LLM; NLP; Research; Агенты,Agentic_AI; LLM; ML; NLP,Студент_107,,https://drive.google.com/drive/folders/1Jah3KKoDDO9UUQflpDuCidY_kFp7jUx9?usp=sharing,,2.71,2,,3.0,3.0,2.0,2.5,2.5,3.0,3.0,
Интеллектуальной автоматизации и агентных систем на основе ИИ,Demo Day,,комната 6,2026-01-22,,,,Агенты,,,,,,,,,,,,,,,,
Интеллектуальный 3D редактор облаков точек,Научный,1 курс,CV,2026-01-23,16:00:00,"1, Провести эксперименты с различными моделями 3D детекции, сегментации
2. Разработать базовые алгоритмы детекции динамических объектов на лидарных картах и единичных облаках точек
3. Разработать прототип Desktop приложения

Ожидаемый результат: Работающий протип приложения с внедренными AI моделями",Работающий протип приложения с внедренными AI моделями,CV; Gaming; GeoAI; Research,CV,Студент_122,@user_218,https://drive.google.com/drive/folders/1C8qUsFCjSYKA-UvMvaawF8mvsaVUbfs1?usp=sharing,,2.43,1,5.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,"На текущий момент кажется результат больше технический, чем исследовательский."
Интеллектуальный агент на базе LLM для оценки эффекта интервенций и генерации причинно‑следственных интерпретаций,Индустриальный,2 курс,FinTech,2026-01-22,12:00:00,"План работы на семестр: 
1) Провести обзор и анализ существующих методов применения LLM для каузального вывода (выявления причины и следствия) и интерпретации, построения и интеграции причинно-следственных графов, применения RAG, uplift-моделирования.
2) Собрать необходимые датасеты из открытых публичных источников.
3) Разработать модель построения причинно-следственного графа.

Ожидаемый результат: Ожидаемый результат к концу семестра: MVP Агента, способного оценивать эффект от интервенций с помощью построения и интеграции причинно-следственных графов и других инструментов","Ожидаемый результат к концу семестра: MVP Агента, способного оценивать эффект от интервенций с помощью построения и интеграции причинно-следственных графов и других инструментов",FinTech; LLM; ML в промышленности; NLP; RAG; Агенты,Agentic_AI; LLM; NLP,Студент_248,@expert_023,https://drive.google.com/drive/folders/11yjJ8NNHP4Du8cNo2qldU85YxIVctSLd?usp=sharing,,,,5.0,,,,,,,,
интеллектуальный поиск для gminisoft,Индустриальный,1 курс,RecSys,2026-01-22,11:00:00,,,LLM; ML в промышленности; NLP; RecSys; Агенты,Agentic_AI; LLM; ML,Студент_691,,https://drive.google.com/drive/folders/1qFr00SGXFLAwxYRNIeW5KJDtfalfC_Ix,,,,,,,,,,,,
Интеллектуальный помощник для анализа корпоративных событий эмитентов ценных бумаг,Индустриальный,,,,,"1) Изучить структуру и формат публикаций корпоративных сообщений на сайте e-disclosure.ru

2)  Разработать парсер для автоматической выгрузки всех корпоративных новостей по дню 

3) Разработать парсер для автоматической выгрузки последней корпоративной новости

4) Разработать парсер для автоматической выгрузки всей истории корпоративных новостей по конкретной компании

5) Разработать базу данных (прим. Postgres) для хранения истории корпоративных новостей по компаниям

6) Разработать базу данных для хранения истории всех событий по дню.

7) Внедрить LLM модель  (API, open source) и составить промпт для составления отчета по дню на основе новостей по дню (пункт 2). 

8) Внедрить LLM модель (API, open source) и составить промпт для краткого пересказа последней корпоративной новости (пункт 3).

9) Внедрить LLM модель (API, open source) и составить промпт для составления отчета о состоянии компании на основании истории ее событий (пункт 4).

10) Реализовать веб-сервис ( backend + frontend) для взаимодействия пользователя (сотрудники ИК ""РИКОМ ТРАСТ""). Должен включать возможность получать историю новостей по эмитенту и отчет от LLM с прогнозом о состоянии компании и ее акций (или других ценным бумаг) , также отчеты по дню от LLM , отдельное хранение всех новостей с возможностью фильтрации. 

11) Реализовать telegram bot с алерт-системой оповещений сотрудников о выходе новостей и событий интересующих их компаний.

Ожидаемый результат: Готовый MVP сервиса : автоматическая выгрузка новостей с e-disclosure.ru, хранение в одной из систем хранения информации (бд), генерация отчётов и резюме LLM-моделью, Telegram-бот с уведомлениями. Подготовлен демо-интерфейс.","Готовый MVP сервиса : автоматическая выгрузка новостей с e-disclosure.ru, хранение в одной из систем хранения информации (бд), генерация отчётов и резюме LLM-моделью, Telegram-бот с уведомлениями. Подготовлен демо-интерфейс.",HR; LLM; ML в промышленности; NLP,,Студент_238,@user_067,,,,,,,,,,,,,
Интуиция,Education,1 курс,EdTech,2026-01-22,10:30:00,"1. Проанализировать текущие решения для чтения книг.
2. Провести кастдевы ЦА.
3. Сформулировать гипотезы.
4. Разработать лендинг для валидации гипотез.
5. Разработать QA-ассистента на основе RAG по книге и дополнительным источникам с учетом гипотез.
5. Завернуть ассистента в интерфейс для чтения книг.

Ожидаемый результат: MVP с первыми пользователями + пайплайн оценки RAG-ответов",MVP с первыми пользователями + пайплайн оценки RAG-ответов,EdTech; LLM; NLP; RAG,LLM; ML,Студент_451,@user_051,https://drive.google.com/drive/folders/1zCZhDwY0tDk1haekgfefaJ0r5xS6gzZ9?usp=sharing,,2.75,8,,3.0,3.0,2.75,2.0,2.62,2.88,3.0,"Крутой продукт идея и реализация, действительно высокий риск убития релизом крупных игроков, поэтому сразу видится сотрудничество с библиотеками. Если углубиться в пользователя гипотетически можно найти еще усиливающие фичи, например: сбор и оценка отдельно рецензий или позиций литературоведов, филологов для общего пользования и обсуждения, отсылки в попкультуру(песни, кино, сериалы и тд.) и мемологию. | Вообще очень красиво и хорошо, сама бы пользовалась с удовольствием. Немножко страшно, что можно убить релизом такой же фичи у того же Яндекса в Букмейте -- идти в отдельное приложение не всем удобно. Поэтому стоит двигаться в продвижение asap."
Информационная безопасность (IAM) + LLM,Demo Day,,EdTech,2026-01-22,,,,EdTech; LLM; NLP; Security,,,,,,,,,,,,,,,,
Инфраструктура для обработки данных GigaChat LLM Pretrain,Индустриальный,,"Туризм, досуг + NLP",2026-01-22,16:45:00,") Написание скриптов для эффективной обработки данных в YTsaurus (парсинг, фильтрация, дедупликация, классификация )

2) Реализация следующий пайплайнов для обработки данных на Airflow:
- перенос данных между различными серверами (s3, Cloud, Cloud CPU, YTsaurus)
- токенизация данных для дальнейших обучения
- семплинг
- OCR обработка документов
- раскатка docker images
- инференс классификаторов
- эксперименты по обучению моделей на разных данных
- бенчмаркинг

3) Написание подробной документации по использованию готовых пайплайнов 

Ожидаемый результат к концу декабря:
Удобные, воспроизводимые, версионируемые пайплайны, к которым написана документация и которыми может пользоваться вся остальная группа (22 человека и соседние команды). Данные, обработанные с помощью полученных пайплайнов, будут использоваться для претрейна LLM GigaChat и сопутствующих экспериментов.","к концу декабря:
Удобные, воспроизводимые, версионируемые пайплайны, к которым написана документация и которыми может пользоваться вся остальная группа (22 человека и соседние команды). Данные, обработанные с помощью полученных пайплайнов, будут использоваться для претрейна LLM GigaChat и сопутствующих экспериментов.",CV; EdTech; Geo; LLM; ML в промышленности; NLP,,Студент_326,@user_331,,,2.0,1,,3.0,3.0,2.0,2.0,1.0,1.0,2.0,
искусственный интеллект: интеграция эмоций в большие языковые модели,Demo Day,,NLP,2026-01-23,11:00:00,,,NLP,,,,,,1.89,4,,2.0,1.25,2.0,1.75,2.25,1.75,2.25,
использование больших языковых моделей для создания целеориентированных диалоговых моделей,Demo Day,,LLM,2026-01-23,12:15:00,,,LLM; NLP,,,,,,2.75,4,,3.0,2.5,2.75,2.25,3.0,3.0,2.75,
Использование генерации синтетических данных для улучшения качества RAG,Научный,,,,,"1. Обзор материалов.
Прочитать статьи  для рассмотрения существующих подходов и выбора метрик и датасетов
2. Реализация гипотез по улучшения качества ретрива и проведение экспериментов по замеру соответствующих метрик 
3. Реализация гипотез по улучшению качества генерации и проведение экспериментов по замеру соответствующих метрик 
4. Анализ полученных результатов и написание статьи

Ожидаемый результат: Завершенное исследование и черновая версия статьи",Завершенное исследование и черновая версия статьи,RAG; Research,,Студент_896,@user_370,,,,,,,,,,,,,
использование глубокого обучения для докинга и молекулярной динамики,Научный,1 курс,Science (BioTech),2026-01-23,16:00:00,,,BioTech; EdTech; Research,Other,Студент_889,,https://drive.google.com/drive/folders/1AP1u0hiwiZ2LMVHlMEg4Z_JWjtymhRcA?usp=sharing,,2.0,3,5.0,2.33,2.0,1.67,2.0,2.0,2.33,1.67,
"Исследование активной материи используя роботов, способных передвигаться в 2ж",Научный,,,,,"1. Сделать обзор литературы.
2. Сделать сетап экспериментов.
3. Если данных не хватает, то начать сбор данных на роботах.
4. Провести эксперименты.


Предполагаемый результат: черновик научной статьи",,Research,,Студент_989,@user_396,,,,,,,,,,,,,
исследование возможностей self-supervised learning,Научный,1 курс,LLM,2026-01-23,12:15:00,,,LLM; NLP; Research,Data_Scientist; ML; NLP,Студент_048,,https://drive.google.com/drive/folders/1Kd5olbE4DD9QrROcEVJTSUR-_A1JcGr-?usp=drive_link,,2.64,4,3.0,3.0,3.0,2.0,2.25,2.25,3.0,3.0,
Исследование возможности использования генеративных моделей в задаче оценки состояния различных объектов на ПВЗ Wildberries,Индустриальный,,"Распознование речи, агенты",2026-01-22,18:15:00,"Цель работы в семестре - Проанализировать и продемонстрировать на прототипах возможности диффузионных моделей для генерации интерьеров/входных групп ПВЗ Wildberries и детально исследовать объект «детский уголок», включая генерацию повреждений и влияние синтетических данных на модели детекции.

1. Анализ возможности использования диффузионных моделей для задачи генерации входных групп ПВЗ и помещения внутри ПВЗ
2. Проведение экспериментов по обучению модели генерации входных групп ПВЗ
3. Проведение экспериментов по обучению модели генерации интерьера ПВЗ
4. Анализ возможности использования диффузионных моделей для задачи генерации детских уголков
5. Проведение экспериментов по обучению модели генерации детских уголков на ПВЗ
6. Проведение экспериментов по улучшению качества работы модели обнаружения объектов в детских уголках благодаря сгенерированным данным
7. Проведение экспериментов по обучению модели генерации повреждений на объектах детских уголков

Ожидаемый результат: Рабочие генераторы входных групп / интерьеров ПВЗ / детских уголков. Улучшение работы детектора объектов в детских уголках и модели определения повреждений на объектах в детских уголках за счёт синтетических данных",Рабочие генераторы входных групп / интерьеров ПВЗ / детских уголков. Улучшение работы детектора объектов в детских уголках и модели определения повреждений на объектах в детских уголках за счёт синтетических данных,Agents; Audio; EdTech; ML в промышленности,,Студент_363,@user_272,,,,,,,,,,,,,
Исследование диффузионных языковых моделей,Научный,,,,,"1. Исследование области
2. Разработка гипотезы
3. Проведение вычислительных экспериментов
4. Оформление черновика статьи
Предполагаемый результат:  публикация пре-принта на arxiv.com",,NLP; Research,,Студент_051,@user_398,,,,,,,,,,,,,
Исследование задачи РЯЖ,Научный,,,,,"Еженедельные созвоны,  обсуждение задач, исследование темы и применение на практике

Ожидаемый результат: Имплементация исследований",Имплементация исследований,Research,,Студент_698,@user_229,,,,,,,,,,,,,
исследование методов улучшения генерализации для детекции уязвимостей в программном коде,Научный,1 курс,Security,2026-01-23,12:15:00,,,CV; LLM; NLP; Research; Security; VLM,CV; LLM; ML; NLP; VLM,Студент_037,,https://github.com/ann04ka/GraphCodeVDS/tree/main,,2.71,1,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,
Исследование моделей для векторного представления медицинских текстов,Научный,1 курс,Science (MedTech),2026-01-23,14:45:00,"План работы:

1. Изучение литературы по работе с мед. текстами 

2. Поиск/формирование датасета для обучения и тестирования 

3. Обзор моделей-конкурентов и подсчет выбранных метрик  на тестовом датасете.

4. Выбор и обучение модели для доменной области.

Ожидаемый результат: Произведена оценка современных моделей на медицинском наборе данных, предложена методика улучшения качества для моделей векторного представления, с учетом специфики медицинских данных","Произведена оценка современных моделей на медицинском наборе данных, предложена методика улучшения качества для моделей векторного представления, с учетом специфики медицинских данных",BioTech; EdTech; LLM; MedTech; NLP; Research,Data_Scientist; LLM; NLP,Студент_092,@user_003,https://drive.google.com/drive/folders/1Vj4RdTqo0kiQuqgEIejPkTSzuENKUxe2,,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Ничего не понятно из постера
Исследование мультиагентных систем в разных доменах,Научный,,,,,"- Работа над треком MARL в рамках соревнования MindGames
- Разработка МАС для автоматического написания статей (конкретные задачи будут определены позже)

Ожидаемый результат: Прототип МАС для автоматического написания статей",Прототип МАС для автоматического написания статей,Gaming; Research; Агенты,,Студент_096,@user_060,,,,,,,,,,,,,
"Исследование на тему: Применение больших языковых моделей и агентных систем для автоматизации процессов извлечения, трансформации и визуализации данных",Научный,,,,,на согласовании,,NLP; Research; Агенты,,Студент_107,@user_139,,,,,,,,,,,,,
Исследование нарративов,Научный,1 курс,,,,"1. Изучить тему новостных нарративов
2. Поработать с базой новостей телеграмм каналов
3. Разработать модель для выявления нарративов на основе анализа текстов новостей и их распространения

Ожидаемый результат: Научиться выявлять нарративы на этапе публикации, научиться предсказывать их распространение","Научиться выявлять нарративы на этапе публикации, научиться предсказывать их распространение",LLM; NLP; Research,Data_Scientist; LLM; NLP,Студент_372,@user_004,https://disk.yandex.ru/d/uhqhVgL-Ew8Z1A,,,,5.0,,,,,,,,
Исследование нейросетей для распознания языка жестов,Научный,,,,,"Планируется провести сравнительный анализ подходов для распознания языка жестов и преобразования его в текст, а также обучение своего пайплайна для улучшения существующих метрик.

Ожидаемый результат: Обученная нейросеть для распознания языка жестов",Обученная нейросеть для распознания языка жестов,EdTech; NLP; Research,,Студент_374,@user_006,,,,,,,,,,,,,
Исследование новостных нарративов,Научный,1 курс,,,,"Постановка задачи и анализ данных — уточнение целей исследования, выбор релевантных источников публикаций и экономических индикаторов, сбор, структурирование и предварительная очистка данных.

Идентификация нарративов — использование инструментов обработки естественного языка и тематического моделирования для автоматического выделения и классификации нарративов в текстах.

Моделирование динамики распространения — разработка моделей, прогнозирующих временные рамки распространения и потенциальные точки возникновения новых нарративов.

Мониторинг распространения — анализ и визуализация хода распространения нарративов по различным источникам, регионам и временным периодам.

Анализ влияния на экономические процессы — исследование корреляций между активностью нарративов и ключевыми экономическими событиями, построение прогностических моделей воздействия.

Интерпретация и оформление результатов — оценка применённых методов, формулирование выводов, подготовка итогового отчёта и презентационных материалов по итогам исследования.

Ожидаемый результат: Освоение инструментов анализа и прогнозирования нарративов, создание модели для оценки их влияния на экономические процессы и подготовка научной публикации по результатам исследования.","Освоение инструментов анализа и прогнозирования нарративов, создание модели для оценки их влияния на экономические процессы и подготовка научной публикации по результатам исследования.",NLP; Research,,Студент_633,@user_605,https://disk.yandex.ru/d/uhqhVgL-Ew8Z1A,,,,,,,,,,,,
Исследование подходов к генерации кода при помощи информационного поиска,Научный,1 курс,,,,"Описать план работы (подходы, эксперименты + сроки)
Выбрать существующий benchmark и OpenSource llm.
Провести эксперименты, показывающие, что добавление информационного поиска улучшает точность генерации для LLM.

Ожидаемый результат: Разработан подход, улучшающий существующие в узкой подзадаче","Разработан подход, улучшающий существующие в узкой подзадаче",LLM; NLP; Research,,Студент_044,@user_612,,,,,,,,,,,,,
исследование подходов к генерации кода при помощи информационного поиска (rag4code),Demo Day,,LLM,2026-01-23,12:15:00,,,LLM; RAG,,,,,,2.46,4,,3.0,2.25,2.25,2.25,3.0,2.75,1.75,
Исследование применения flow matching подхода к контролируемой генерации табличных данных,Научный,1 курс,,,,"1. Изучить дифузионные модели
1.1 На канале Студент_2252 посмотреть лекции про сэмплирование
1.2 Понять что такое генеративная модель (научиться сэмплировать данные)
1.3 Изучить диффузионные модели (семинары ВШЭ)

2. Flow Matching
2.1 Обзор литературы
2.1 Изучение алгоритма Flow Matching
2.3 Найти программные реализации моделей Flow Matching (желательно для табличных данных)
2.4 Изучить как работает Flow Matching на непрерывных данных

Ожидаемый результат: Изучить как работает Flow Matching на непрерывных данных",Изучить как работает Flow Matching на непрерывных данных,Research,,Студент_1364,@user_616,,,,,,,,,,,,,
Исследование применения функции оценки токенов для модели Transformer в контексте разреженности нейронных сетей,Научный,,,,,"Этап 1 
 1. Доработать текущий материал ВКР (а именно метод токенизации изображений с помощью функции оценки токенов)
             1.1.       Организация репозитория с открытым и аккуратным исходным кодом, оформленным в виде библиотеки
             1.2.      Обучение и вычисление метрик для различных моделей на imagenet-1k  
 2. Изучить другие работы, связанные с функцией оценки токенов
 3. Поставить эксперименты с другими функциями оценки токенов и способами их обучения 
 4. Собрать результаты в статью

Этап 2 
 1. Анализ работ, связанных с функциями оценки токенов в трансформерах
 2. Применить функции оценки токенов для каждого слоя трансформера
       2.1. Поставить эксперименты для трансформеров-кодировщиков (задача классификации?)
       2.2. Поставить эксперименты для трансформеров-декодировщиков (задача генерации текста)
       2.3. Поставить эксперименты для трансфомеров (энкодер-декодер, задача машинного перевода)
 3. Собрать результаты в статью

Ожидаемый результат: Выполнение поставленного плана, сбор материалов в статью (пока без публикации, возможно с подготовкой постера)","Выполнение поставленного плана, сбор материалов в статью (пока без публикации, возможно с подготовкой постера)",CV; EdTech; NLP; Research,,Студент_075,@user_306,,,,,,,,,,,,,
